log_date,trip_name,dest,days_to_depart,price_hkd,airlines,flight_numbers,out_stops,dest_airport,out_dep,out_arr,out_duration_min,via,query_type,in_best,depart_date,return_date,log_ts_utc
2026-08-05,XMAS-2026,TYO,137,4379,UO,UO628,0,HND,2026-12-20 19:55,2026-12-21 00:45,230,,nonstop,1,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,4829,UO,UO622,0,HND,2026-12-20 17:55,2026-12-20 22:45,230,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,4829,UO,UO624,0,HND,2026-12-20 23:55,2026-12-21 04:45,230,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,5959,UO,UO650,0,NRT,2026-12-20 14:00,2026-12-20 19:05,245,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,5959,UO,UO652,0,NRT,2026-12-20 14:55,2026-12-20 20:00,245,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,5979,UO,UO854,0,NRT,2026-12-20 02:00,2026-12-20 07:05,245,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,5979,UO,UO646,0,NRT,2026-12-20 13:00,2026-12-20 18:05,245,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,6379,UO,UO848,0,NRT,2026-12-20 09:20,2026-12-20 14:25,245,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,6379,UO,UO870,0,NRT,2026-12-20 10:50,2026-12-20 15:55,245,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,6549,NH,NH860,0,HND,2026-12-20 14:20,2026-12-20 19:15,235,,nonstop,1,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,6591,HB,HB320,0,NRT,2026-12-20 09:05,2026-12-20 14:10,245,,nonstop,1,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,7149,NH,NH814,0,HND,2026-12-20 00:05,2026-12-20 04:55,230,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,9389,CX,CX524,0,NRT,2026-12-20 01:25,2026-12-20 06:30,245,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,9389,CX,CX526,0,NRT,2026-12-20 08:15,2026-12-20 13:10,235,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,9389,CX,CX504,0,NRT,2026-12-20 09:05,2026-12-20 14:10,245,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,9389,CX,CX520,0,NRT,2026-12-20 10:30,2026-12-20 15:35,245,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,9389,CX,CX500,0,NRT,2026-12-20 15:25,2026-12-20 20:20,235,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,10259,NH,NH812,0,NRT,2026-12-20 10:00,2026-12-20 15:10,250,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,10449,JL,JL736,0,NRT,2026-12-20 10:20,2026-12-20 15:20,240,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,11193,CX,CX542,0,HND,2026-12-20 16:30,2026-12-20 21:15,225,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,11653,CX,CX548,0,HND,2026-12-20 08:55,2026-12-20 13:45,230,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,TYO,137,11691,JL,JL26,0,HND,2026-12-20 15:35,2026-12-20 20:25,230,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,SDJ,137,6299,UO,UO890,0,SDJ,2026-12-20 09:00,2026-12-20 14:05,245,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,CTS,137,7226,HB,HB2886,0,CTS,2026-12-20 01:15,2026-12-20 07:00,285,,nonstop,1,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,CTS,137,7636,HB,HB880,0,CTS,2026-12-20 09:15,2026-12-20 15:00,285,,nonstop,1,2026-12-20,2027-01-03,2026-08-05 07:07:55
2026-08-05,XMAS-2026,CTS,137,17186,CX,CX580,0,CTS,2026-12-20 09:10,2026-12-20 14:50,280,,nonstop,0,2026-12-20,2027-01-03,2026-08-05 07:07:55
